"FacilityId","ProduceDate","ShiftDefinitionShift","SortMold","SortOrderList","ZZSTYLCODE","ZZGENDER","ZZPARTNO","ZZATCOLR","ZZCOLORCODE","ProductSize","MoldNo","MoldInventory","SumBodySizeNeed","SumRequiredUpperMoldQuantity","SteerRequiredUpperMoldQuantity","ActualRequiredUpperMoldQuantity"
2210030000000000001,"20250602","6330_VNbc_3rdShift",114,"120,205",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_10-K,"06819",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",115,"121",N,M,H0001,SOLAR RED/CORE BLACK,"088A/A0QM",UK_7-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",116,"122",N,M,H0001,CORE BLACK,A0QM,UK_7,"55847",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",117,"123",N,M,H0001,CORE BLACK,A0QM,UK_8-,"64546",1.00000000,180.00000000,6.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",118,"124",N,M,H0001,"50%SILVER PEBBLE S23/CORE BLACK","50%AESW/A0QM",UK_12-,"59056",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",119,"125,359",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_4,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",120,"126,251",N,W,H0001,TECH INDIGO S20,ADAM,UK_4,"66680",1.00000000,85.00000000,5.00000000,2.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",121,"128,464,468",N,M,H0001,FTWR WHITE,"01F7",UK_7-,"64699",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",122,"129",NA,W,H0001,IVORY S24/CORE BLACK,AF42/A0QM,UK_7,"19383",4.00000000,1169.00000000,35.00000000,4.00000000,4.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",123,"130",N,W,H0001,"80%GUM 2","80%18F0",UK_4,"05344",2.00000000,646.00000000,19.00000000,2.00000000,1.00000000
